,entropy_mean,ppl_mean,t1a_mean,sc_mean,ctr_mean
entropy_mean,1.0,0.9976921783653964,-0.04685247674791307,-0.06962272069005473,-0.11651468438602161
ppl_mean,0.9976921783653964,1.0,-0.046775338034559286,-0.073013368804097,-0.13109335045929343
t1a_mean,-0.04685247674791307,-0.046775338034559286,1.0,0.03487042511785801,-0.05857176905483708
sc_mean,-0.06962272069005473,-0.073013368804097,0.03487042511785801,1.0,-0.0522826945990427
ctr_mean,-0.11651468438602161,-0.13109335045929343,-0.05857176905483708,-0.0522826945990427,1.0
